eBird.Hotspot.Name,LOCALITY_ID,Latitude,Longitude,State,Status,area_sqkm,County
Cuyahoga Valley NP--Rockside Station and Rockside Rd. Wetland,L2318980,41.3928114,-81.6309071,US-OH,U,0.06810892773929006,Cuyahoga
Invista Wetlands (CTC 026),L569908,28.664985,-96.9452477,US-TX,C,0.46155594109106063,Victoria
Aurora Wetlands Park,L4030074,41.3080193,-81.3832587,US-OH,N,0.3041504567072187,Portage
Brevard College--Townsend Wetlands Garden,L11355576,35.2387916,-82.7284964,US-NC,C,0.0022796862800829112,Transylvania
Shepherd University Wetlands Area,L3800078,39.440075,-77.8077239,US-WV,U,0.021623936796153896,Jefferson
Wabashiki FWA--Dewey Point Wetland Overlook,L585738,39.4669447,-87.4416876,US-IN,N,0.5577217043915493,Vigo
Big Island Wildlife Area--LaRue-Prospect Rd. Wetlands Reserve,L6133978,40.5713984,-83.3102844,US-OH,N,0.38414644050184826,Marion
Eyring Wetlands,L3497478,41.7468699,-80.9000051,US-OH,N,0.13519119894708134,Ashtabula
Five Mile and Victory Wetland,L3962950,43.576,-116.31701,US-ID,C,0.008029302835261449,Ada
Carlson Rd. Wetland,L328764,45.7469959,-88.1938014,US-WI,N,0.008616874868508428,Florence
Jefferson Pkwy Wetlands,L2792663,44.4381312,-93.1454158,US-MN,U,0.06098201307562925,Rice
McMahon Rd wetland,L4675119,43.165265,-88.507844,US-WI,N,0.22974027650951595,Waukesha
High Point Commons Wetland,L1252330,40.2463518,-76.8080807,US-PA,C,0.023786308255186305,Dauphin
Itchepackesassa Creek Wetland,L3064485,28.060513,-82.0305884,US-FL,C,0.35254453265596924,Polk
City of Columbia Wetland Cell #2,L677844,38.8720742,-92.4363899,US-MO,C,0.17639182789796778,Boone
Cirtus Grove Park and Wetlands,L5191166,27.1777611,-80.3189474,US-FL,C,0.3515341353681963,Martin
LaGrange 200 North Wetland,L6083940,41.6716939,-85.4369676,US-IN,U,0.14911462147717178,LaGrange
Randalls Island--Freshwater Wetlands (Little Hell Gate Inlet),L1785366,40.7912493,-73.9241211,US-NY,N,0.024543989849202336,New York
North Creek Wetlands (Snohomish Co.),L1052691,47.7767423,-122.1893728,US-WA,C,0.04108058277639374,Snohomish
Greenwood Urban Wetlands,L518777,28.5351435,-81.3620853,US-FL,C,0.08600452337326296,Orange
Pintail Wetland,L2123058,42.497985,-93.1424332,US-IA,U,0.26130184130286427,Hardin
Ikea Wetlands,L3492328,39.0227056,-76.93096,US-MD,C,0.13682204362671077,Prince George's
Modern Disposal Wetland,L1507076,43.2169725,-78.9554091,US-NY,C,0.09861422737942822,Niagara
Caliente Ranch Wetland,L297277,34.9901746,-119.8007052,US-CA,U,0.08179572547601163,Santa Barbara
Rogersville-Jamestown City Park Wetland Areas,L2729812,37.1122153,-93.0791488,US-MO,C,0.04096297795094084,Greene
Jacksons Pond and Kiowa Creek wetlands,L2165491,38.4675009,-102.7787411,US-CO,N,0.11841079622981139,Kiowa
Saddlebrook Wetland Trail,L1663202,41.6247023,-91.4960359,US-IA,C,0.3312422635300737,Johnson
Ionia SRA--Old Hartwell wetlands,L1130700,42.9472819,-85.1541281,US-MI,N,0.4156965463605523,Ionia
Hwy. 64 Wetlands,L11338314,45.113668,-88.29485,US-WI,C,1.6067959075650498,Oconto
